Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2015	lipoprotein particle receptor binding (GO:0070325)	6/18	5.629927635611295e-15	6.361818228240763e-13	0	0	768.0384615384615	25199.864040382385	APOA2;PCSK9;APOE;LDLRAP1;APOB;APOA5
GO_Molecular_Function_2015	lipoprotein particle binding (GO:0071813)	6/24	4.068516925462279e-14	1.5324747085907916e-12	0	0	511.87179487179486	15782.49839591798	LIPC;APOA2;PCSK9;APOE;LDLR;GPIHBP1
GO_Molecular_Function_2015	protein-lipid complex binding (GO:0071814)	6/24	4.068516925462279e-14	1.5324747085907916e-12	0	0	511.87179487179486	15782.49839591798	LIPC;APOA2;PCSK9;APOE;LDLR;GPIHBP1
GO_Molecular_Function_2015	low-density lipoprotein particle receptor binding (GO:0050750)	5/13	5.586490633676176e-13	1.5781836040135194e-11	0	0	891.6517857142857	25156.39912355935	PCSK9;APOE;LDLRAP1;APOB;APOA5
GO_Molecular_Function_2015	cholesterol transporter activity (GO:0017127)	4/11	1.910690871593795e-10	4.318161369801977e-09	0	0	760.9142857142857	17028.03362937553	CETP;APOA2;APOE;APOB
GO_Molecular_Function_2015	sterol transporter activity (GO:0015248)	4/12	2.8643406077266797e-10	5.394508144551913e-09	0	0	665.7666666666667	14629.23234560508	CETP;APOA2;APOE;APOB
GO_Molecular_Function_2015	heparin binding (GO:0008201)	5/140	1.6808290752586025e-07	2.713338364346029e-06	0	0	52.5026455026455	818.9787119990987	LIPC;LPL;APOE;APOB;APOA5
GO_Molecular_Function_2015	phospholipid binding (GO:0005543)	6/296	2.3048703935493995e-07	3.255629430888526e-06	0	0	31.338461538461537	478.9479391313423	CETP;APOA2;APOE;LDLRAP1;APOB;APOA5
GO_Molecular_Function_2015	low-density lipoprotein particle binding (GO:0030169)	3/15	3.283121671574725e-07	3.372661353526763e-06	0	0	312.015625	4658.175167360941	LIPC;PCSK9;LDLR
GO_Molecular_Function_2015	apolipoprotein binding (GO:0034185)	3/15	3.283121671574725e-07	3.372661353526763e-06	0	0	312.015625	4658.175167360941	LIPC;LPL;PCSK9
GO_Molecular_Function_2015	phosphatidylcholine binding (GO:0031210)	3/15	3.283121671574725e-07	3.372661353526763e-06	0	0	312.015625	4658.175167360941	CETP;APOA2;APOA5
GO_Molecular_Function_2015	glycosaminoglycan binding (GO:0005539)	5/190	7.660423399007386e-07	7.213565367398621e-06	0	0	38.21621621621622	538.1618418951916	LIPC;LPL;APOE;APOB;APOA5
GO_Molecular_Function_2015	sulfur compound binding (GO:1901681)	5/206	1.1416946971809008e-06	9.923961598572444e-06	0	0	35.14570007107321	480.8985024126499	LIPC;LPL;APOE;APOB;APOA5
GO_Molecular_Function_2015	lipid transporter activity (GO:0005319)	4/87	1.2314531074556885e-06	9.939585795892342e-06	0	0	63.92931726907631	869.9064024183926	CETP;APOA2;APOE;APOB
GO_Molecular_Function_2015	quaternary ammonium group binding (GO:0050997)	3/31	3.212529455094768e-06	2.4201055228380586e-05	0	0	133.61383928571428	1690.0082245751112	CETP;APOA2;APOA5
GO_Molecular_Function_2015	protein homodimerization activity (GO:0042803)	6/653	2.2325997405860283e-05	0.00015767735667888825	0	0	13.791939127333254	147.70834082518238	GHR;EPHX2;APOC2;APOA2;APOE;USF1
GO_Molecular_Function_2015	lipase activator activity (GO:0060229)	2/11	4.678583530599793e-05	0.00031098819938692743	0	0	261.0718954248366	2602.868539389068	APOC2;APOA5
GO_Molecular_Function_2015	alcohol binding (GO:0043178)	3/89	7.838853821213195e-05	0.0004921058232206061	0	0	43.375726744186046	410.0668698476257	CETP;APOA2;APOA5
GO_Molecular_Function_2015	triglyceride lipase activity (GO:0004806)	2/16	0.00010179008516647866	0.0006053831380953731	0	0	167.78991596638656	1542.4252214039525	LIPC;LPL
GO_Molecular_Function_2015	lipase inhibitor activity (GO:0055102)	2/18	0.00012963563814508892	0.0007324413555197524	0	0	146.8014705882353	1313.9880817962558	APOC2;APOA2
