Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2015	plasma lipoprotein particle (GO:0034358)	10/38	1.5313443120875888e-23	1.0563200403524637e-21	0	0	791.7857142857143	41595.12529576969	CETP;LIPC;APOC2;APOA2;LPL;APOE;APOB;APOA5;LDLR;GPIHBP1
GO_Cellular_Component_2015	protein-lipid complex (GO:0032994)	10/40	2.743688416499905e-23	1.0563200403524637e-21	0	0	738.925925925926	38387.31563631009	CETP;LIPC;APOC2;APOA2;LPL;APOE;APOB;APOA5;LDLR;GPIHBP1
GO_Cellular_Component_2015	high-density lipoprotein particle (GO:0034364)	7/25	9.451220669156422e-17	2.4258133050834817e-15	0	0	646.949074074074	23870.9992768621	CETP;LIPC;APOC2;APOA2;APOE;APOA5;GPIHBP1
GO_Cellular_Component_2015	chylomicron (GO:0042627)	6/13	5.218262914133295e-16	1.0045156109706591e-14	0	0	1316.967032967033	46343.01225556608	APOC2;APOA2;LPL;APOE;APOB;APOA5
GO_Cellular_Component_2015	very-low-density lipoprotein particle (GO:0034361)	6/20	1.1741956856182748e-14	1.5068844632101197e-13	0	0	658.2527472527472	21113.857027606955	APOC2;APOA2;LPL;APOE;APOB;APOA5
GO_Cellular_Component_2015	triglyceride-rich lipoprotein particle (GO:0034385)	6/20	1.1741956856182748e-14	1.5068844632101197e-13	0	0	658.2527472527472	21113.857027606955	APOC2;APOA2;LPL;APOE;APOB;APOA5
GO_Cellular_Component_2015	low-density lipoprotein particle (GO:0034362)	5/14	8.68512712176147e-13	9.553639833937616e-12	0	0	792.5396825396825	22010.407444890847	APOC2;APOE;APOB;APOA5;LDLR
GO_Cellular_Component_2015	early endosome (GO:0005769)	7/141	3.4965676041785405e-11	3.365446319021845e-10	0	0	86.39863184079601	2080.189983924476	APOC2;APOA2;PCSK9;APOE;LDLRAP1;APOB;LDLR
GO_Cellular_Component_2015	extracellular space (GO:0005615)	10/1120	1.6933011385286638e-08	1.4487131962967457e-07	0	0	18.88988988988989	338.0157044972996	GHR;CETP;LIPC;APOC2;APOA2;LPL;PCSK9;APOE;APOB;APOA5
GO_Cellular_Component_2015	extracellular region (GO:0005576)	9/1585	5.3571220105944375e-06	4.1249839481577166e-05	0	0	10.510469543147208	127.56644820788448	GHR;CETP;LIPC;APOC2;APOA2;LPL;APOE;APOB;APOA5
GO_Cellular_Component_2015	cytoplasmic vesicle part (GO:0044433)	5/363	1.8067636376161045e-05	0.0001264734546331273	0	0	19.57601755786113	213.797288444973	NOS3;APOE;LDLRAP1;APOB;LDLR
